#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
ASV_131	0	0	0	0	0	0	0	0	0	0	16	11	0	0	11	0	0	0	0	18	0	0	78	0	9	0	0	0	0	0	0	0	0	0
ASV_132	18	7	24	0	7	53	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	26	0	0	0	23	62	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	6	18	0	29	0	0	0	0	0	0	0	10	0	0	27	0	51	0	0	0	0	0	0	0	0	0
ASV_135	0	0	0	0	0	0	0	0	0	0	19	23	0	0	0	12	0	17	0	0	0	0	0	39	31	0	0	0	0	0	0	0	0	0
ASV_136	0	0	58	50	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_137	0	0	0	0	0	0	0	0	16	7	29	28	0	7	0	0	0	4	0	0	3	0	10	0	31	0	0	0	0	0	0	0	0	0
ASV_138	0	11	8	20	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_139	27	29	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	16	13	37	0	0	0	0	0	0	0	0	0
ASV_140	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	58	0	0	0	0	0	0	0	56	0	2	0	0	0	0	0	0	0	7
ASV_141	0	0	0	0	0	0	0	0	0	0	71	0	0	7	4	0	0	0	0	6	0	0	14	0	29	0	0	0	0	0	0	0	0	0
ASV_142	0	0	0	0	0	0	0	0	0	0	0	0	0	5	62	0	0	0	0	0	0	0	45	0	18	0	0	0	0	0	0	0	0	0
ASV_143	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	36	0	0	19	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	30	0	0	54	0	0	0	0	0	0	0	0	0	0	0
ASV_145	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	33	0	20	0	24	0	0	0	0	0	0	0	0	0
ASV_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0
ASV_147	0	0	0	0	0	0	0	0	0	29	15	17	0	0	0	0	0	5	14	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	6	0	0	6	0	0	0	3	28	59	0	0	0	0	0	0	0	0	0
ASV_149	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0
ASV_150	23	0	21	13	13	23	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_151	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
