"#OTU ID","domain","phylum","class","order","family","genus","species"
"ASV_420","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_421","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","Unknown"
"ASV_422","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unknown","Unknown"
"ASV_423","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_424","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Unknown"
"ASV_425","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unknown","Unknown"
"ASV_426","Bacteria","Proteobacteria","Gammaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_427","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","segnis"
"ASV_428","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Unknown"
"ASV_429","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","TG5","Unknown"
"ASV_430","Bacteria","Bacteroidetes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_431","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unknown","Unknown"
"ASV_432","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Unknown","Unknown"
"ASV_433","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_434","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_435","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_436","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Unknown"
"ASV_437","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unknown","Unknown"
"ASV_438","Bacteria","Proteobacteria","Betaproteobacteria","MKC10","Unknown","Unknown","Unknown"
"ASV_439","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"ASV_440","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister","Unknown"
"ASV_441","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Unknown","Unknown"
"ASV_442","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Unknown","Unknown"
"ASV_443","Bacteria","Cyanobacteria","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_444","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unknown","Unknown"
"ASV_445","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Unknown","Unknown"
"ASV_446","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unknown","Unknown"
